gender,medal,type,year,country,abb
Women,Gold,Table Tennis,1996,United States of America,USA
Women,Gold,Table Tennis,1996,Austria,AUT
Women,Gold,Table Tennis,1996,Belgium,BEL
Women,Gold,Table Tennis,1996,China,CHN
Women,Gold,Table Tennis,1996,France,FRA
Women,Gold,Table Tennis,1996,Germany,GER
Women,Gold,Table Tennis,1996,China,CHN
Men,Gold,Table Tennis,1996,Finland,FIN
Men,Gold,Table Tennis,1996,Finland,FIN
Men,Gold,Table Tennis,1996,Korea,KOR
Men,Gold,Table Tennis,1996,Korea,KOR
Men,Gold,Table Tennis,1996,Korea,KOR
Men,Gold,Table Tennis,1996,Sweden,SWE
Men,Gold,Table Tennis,1996,Sweden,SWE
Men,Gold,Table Tennis,1996,Sweden,SWE
Men,Gold,Table Tennis,1996,Sweden,SWE
Men,Gold,Table Tennis,1996,Germany,GER
Men,Gold,Table Tennis,1996,Germany,GER
Men,Gold,Table Tennis,1996,Germany,GER
Men,Gold,Table Tennis,1996,Germany,GER
Men,Gold,Table Tennis,1996,France,FRA
Men,Gold,Table Tennis,1996,France,FRA
Men,Gold,Table Tennis,1996,France,FRA
Women,Gold,Table Tennis,1996,Germany,GER
Women,Gold,Table Tennis,1996,Germany,GER
Women,Gold,Table Tennis,1996,Germany,GER
Women,Gold,Table Tennis,1996,Germany,GER
Women,Gold,Table Tennis,1996,China,CHN
Women,Gold,Table Tennis,1996,China,CHN
Men,Gold,Table Tennis,2000,Korea,KOR
Men,Gold,Table Tennis,2000,Korea,KOR
Men,Gold,Table Tennis,2000,France,FRA
Men,Gold,Table Tennis,2000,Czech Republic,CZE
Men,Gold,Table Tennis,2000,France,FRA
Men,Gold,Table Tennis,2000,Sweden,SWE
Men,Gold,Table Tennis,2000,Germany,GER
Men,Gold,Table Tennis,2000,Spain,ESP
Men,Gold,Table Tennis,2000,Nigeria,NGR
Men,Gold,Table Tennis,2000,Czech Republic,CZE
Men,Gold,Table Tennis,2000,Poland,POL
Women,Gold,Table Tennis,2000,Jordan,JOR
Women,Gold,Table Tennis,2000,Slovakia,SVK
Women,Gold,Table Tennis,2000,Germany,GER
Women,Gold,Table Tennis,2000,China,CHN
Women,Gold,Table Tennis,2000,China,CHN
Women,Gold,Table Tennis,2000,France,FRA
Women,Gold,Table Tennis,2000,Czech Republic,CZE
Women,Gold,Table Tennis,2000,Hong Kong,HKG
Men,Gold,Table Tennis,2000,Korea,KOR
Men,Gold,Table Tennis,2000,Korea,KOR
Men,Gold,Table Tennis,2000,Korea,KOR
Men,Gold,Table Tennis,2000,Korea,KOR
Men,Gold,Table Tennis,2000,France,FRA
Men,Gold,Table Tennis,2000,France,FRA
Men,Gold,Table Tennis,2000,France,FRA
Men,Gold,Table Tennis,2000,France,FRA
Men,Gold,Table Tennis,2000,France,FRA
Men,Gold,Table Tennis,2000,France,FRA
Men,Gold,Table Tennis,2000,Korea,KOR
Men,Gold,Table Tennis,2000,Korea,KOR
Men,Gold,Table Tennis,2000,Germany,GER
Men,Gold,Table Tennis,2000,Germany,GER
Men,Gold,Table Tennis,2000,Germany,GER
Men,Gold,Table Tennis,2000,Korea,KOR
Men,Gold,Table Tennis,2000,Korea,KOR
Men,Gold,Table Tennis,2000,Nigeria,NGR
Men,Gold,Table Tennis,2000,Nigeria,NGR
Men,Gold,Table Tennis,2000,Nigeria,NGR
Men,Gold,Table Tennis,2000,France,FRA
Men,Gold,Table Tennis,2000,France,FRA
Men,Gold,Table Tennis,2000,France,FRA
Women,Gold,Table Tennis,2000,France,FRA
Women,Gold,Table Tennis,2000,France,FRA
Women,Gold,Table Tennis,2000,China,CHN
Women,Gold,Table Tennis,2000,China,CHN
Women,Gold,Table Tennis,2000,China,CHN
Women,Gold,Table Tennis,2000,China,CHN
Women,Gold,Table Tennis,2000,China,CHN
Women,Gold,Table Tennis,2000,China,CHN
Men,Gold,Table Tennis,2004,Germany,GER
Men,Gold,Table Tennis,2004,Slovakia,SVK
Men,Gold,Table Tennis,2004,Korea,KOR
Men,Gold,Table Tennis,2004,China,CHN
Men,Gold,Table Tennis,2004,Korea,KOR
Men,Gold,Table Tennis,2004,Germany,GER
Men,Gold,Table Tennis,2004,France,FRA
Men,Gold,Table Tennis,2004,Belgium,BEL
Men,Gold,Table Tennis,2004,Austria,AUT
Men,Gold,Table Tennis,2004,Slovakia,SVK
Women,Gold,Table Tennis,2004,France,FRA
Women,Gold,Table Tennis,2004,Slovenia,SLO
Women,Gold,Table Tennis,2004,Germany,GER
Women,Gold,Table Tennis,2004,China,CHN
Women,Gold,Table Tennis,2004,China,CHN
Women,Gold,Table Tennis,2004,China,CHN
Women,Gold,Table Tennis,2004,Poland,POL
Men,Gold,Table Tennis,2004,Korea,KOR
Men,Gold,Table Tennis,2004,Korea,KOR
Men,Gold,Table Tennis,2004,Korea,KOR
Men,Gold,Table Tennis,2004,Korea,KOR
Men,Gold,Table Tennis,2004,Korea,KOR
Men,Gold,Table Tennis,2004,Korea,KOR
Men,Gold,Table Tennis,2004,Korea,KOR
Men,Gold,Table Tennis,2004,Korea,KOR
Men,Gold,Table Tennis,2004,Korea,KOR
Men,Gold,Table Tennis,2004,Korea,KOR
Men,Gold,Table Tennis,2004,Czech Republic,CZE
Men,Gold,Table Tennis,2004,Czech Republic,CZE
Men,Gold,Table Tennis,2004,Czech Republic,CZE
Men,Gold,Table Tennis,2004,Germany,GER
Men,Gold,Table Tennis,2004,Germany,GER
Men,Gold,Table Tennis,2004,Germany,GER
Men,Gold,Table Tennis,2004,Germany,GER
Men,Gold,Table Tennis,2004,Belgium,BEL
Men,Gold,Table Tennis,2004,Belgium,BEL
Men,Gold,Table Tennis,2004,Belgium,BEL
Men,Gold,Table Tennis,2004,Netherlands,NED
Men,Gold,Table Tennis,2004,Netherlands,NED
Men,Gold,Table Tennis,2004,China,CHN
Men,Gold,Table Tennis,2004,China,CHN
Women,Gold,Table Tennis,2004,France,FRA
Women,Gold,Table Tennis,2004,France,FRA
Women,Gold,Table Tennis,2004,France,FRA
Women,Gold,Table Tennis,2004,China,CHN
Women,Gold,Table Tennis,2004,China,CHN
Women,Gold,Table Tennis,2004,China,CHN
Women,Gold,Table Tennis,2004,China,CHN
Women,Gold,Table Tennis,2004,China,CHN
Women,Gold,Table Tennis,2004,China,CHN
Women,Gold,Table Tennis,2004,China,CHN
Men,Gold,Table Tennis,2008,Austria,AUT
Men,Gold,Table Tennis,2008,France,FRA
Men,Gold,Table Tennis,2008,China,CHN
Men,Gold,Table Tennis,2008,France,FRA
Men,Gold,Table Tennis,2008,Denmark,DEN
Men,Gold,Table Tennis,2008,Germany,GER
Men,Gold,Table Tennis,2008,China,CHN
Men,Gold,Table Tennis,2008,China,CHN
Women,Gold,Table Tennis,2008,China,CHN
Women,Gold,Table Tennis,2008,China,CHN
Women,Gold,Table Tennis,2008,China,CHN
Women,Gold,Table Tennis,2008,China,CHN
Women,Gold,Table Tennis,2008,Russia,RUS
Women,Gold,Table Tennis,2008,France,FRA
Women,Gold,Table Tennis,2008,China,CHN
Women,Gold,Table Tennis,2008,Poland,POL
Men,Gold,Table Tennis,2008,Slovakia,SVK
Men,Gold,Table Tennis,2008,Slovakia,SVK
Men,Gold,Table Tennis,2008,France,FRA
Men,Gold,Table Tennis,2008,France,FRA
Men,Gold,Table Tennis,2008,France,FRA
Men,Gold,Table Tennis,2008,Korea,KOR
Men,Gold,Table Tennis,2008,Korea,KOR
Men,Gold,Table Tennis,2008,Korea,KOR
Men,Gold,Table Tennis,2008,China,CHN
Men,Gold,Table Tennis,2008,China,CHN
Men,Gold,Table Tennis,2008,China,CHN
Men,Gold,Table Tennis,2008,China,CHN
Men,Gold,Table Tennis,2008,China,CHN
Men,Gold,Table Tennis,2008,China,CHN
Men,Gold,Table Tennis,2008,China,CHN
Men,Gold,Table Tennis,2008,China,CHN
Women,Gold,Table Tennis,2008,China,CHN
Women,Gold,Table Tennis,2008,China,CHN
Women,Gold,Table Tennis,2008,China,CHN
Women,Gold,Table Tennis,2008,China,CHN
Women,Gold,Table Tennis,2008,China,CHN
Women,Gold,Table Tennis,2008,China,CHN
Women,Gold,Table Tennis,2008,China,CHN
Women,Gold,Table Tennis,2008,China,CHN
Women,Gold,Table Tennis,2008,China,CHN
Women,Gold,Table Tennis,2008,China,CHN
Men,Gold,Table Tennis,2012,Germany,GER
Men,Gold,Table Tennis,2012,Slovakia,SVK
Men,Gold,Table Tennis,2012,China,CHN
Men,Gold,Table Tennis,2012,Korea,KOR
Men,Gold,Table Tennis,2012,Norway,NOR
Men,Gold,Table Tennis,2012,Thailand,THA
Men,Gold,Table Tennis,2012,Germany,GER
Men,Gold,Table Tennis,2012,China,CHN
Men,Gold,Table Tennis,2012,China,CHN
Men,Gold,Table Tennis,2012,Poland,POL
Men,Gold,Table Tennis,2012,Hungary,HUN
Women,Gold,Table Tennis,2012,China,CHN
Women,Gold,Table Tennis,2012,Sweden,SWE
Women,Gold,Table Tennis,2012,China,CHN
Women,Gold,Table Tennis,2012,China,CHN
Women,Gold,Table Tennis,2012,Russia,RUS
Women,Gold,Table Tennis,2012,Netherlands,NED
Women,Gold,Table Tennis,2012,China,CHN
Women,Gold,Table Tennis,2012,China,CHN
Women,Gold,Table Tennis,2012,Poland,POL
Women,Gold,Table Tennis,2012,Hong Kong,HKG
Men,Gold,Table Tennis,2012,Slovakia,SVK
Men,Gold,Table Tennis,2012,Slovakia,SVK
Men,Gold,Table Tennis,2012,Slovakia,SVK
Men,Gold,Table Tennis,2012,China,CHN
Men,Gold,Table Tennis,2012,China,CHN
Men,Gold,Table Tennis,2012,China,CHN
Men,Gold,Table Tennis,2012,China,CHN
Men,Gold,Table Tennis,2012,China,CHN
Men,Gold,Table Tennis,2012,China,CHN
Men,Gold,Table Tennis,2012,Poland,POL
Men,Gold,Table Tennis,2012,Poland,POL
Men,Gold,Table Tennis,2012,China,CHN
Men,Gold,Table Tennis,2012,China,CHN
Men,Gold,Table Tennis,2012,China,CHN
Men,Gold,Table Tennis,2012,China,CHN
Women,Gold,Table Tennis,2012,China,CHN
Women,Gold,Table Tennis,2012,China,CHN
Women,Gold,Table Tennis,2012,China,CHN
Women,Gold,Table Tennis,2012,China,CHN
Women,Gold,Table Tennis,2012,China,CHN
Women,Gold,Table Tennis,2012,China,CHN
Women,Gold,Table Tennis,2012,China,CHN
Women,Gold,Table Tennis,2012,China,CHN
Women,Gold,Table Tennis,2012,China,CHN
Women,Gold,Table Tennis,2012,China,CHN
Men,Gold,Table Tennis,2016,Great Britain,GBR
Men,Gold,Table Tennis,2016,France,FRA
Men,Gold,Table Tennis,2016,China,CHN
Men,Gold,Table Tennis,2016,Turkey,TUR
Men,Gold,Table Tennis,2016,China,CHN
Men,Gold,Table Tennis,2016,Denmark,DEN
Men,Gold,Table Tennis,2016,Great Britain,GBR
Men,Gold,Table Tennis,2016,China,CHN
Men,Gold,Table Tennis,2016,Belgium,BEL
Men,Gold,Table Tennis,2016,China,CHN
Men,Gold,Table Tennis,2016,Belgium,BEL
Women,Gold,Table Tennis,2016,China,CHN
Women,Gold,Table Tennis,2016,China,CHN
Women,Gold,Table Tennis,2016,Serbia,SRB
Women,Gold,Table Tennis,2016,China,CHN
Women,Gold,Table Tennis,2016,Croatia,CRO
Women,Gold,Table Tennis,2016,Netherlands,NED
Women,Gold,Table Tennis,2016,China,CHN
Women,Gold,Table Tennis,2016,China,CHN
Women,Gold,Table Tennis,2016,Poland,POL
Women,Gold,Table Tennis,2016,Ukraine,UKR
Men,Gold,Table Tennis,2016,France,FRA
Men,Gold,Table Tennis,2016,France,FRA
Men,Gold,Table Tennis,2016,France,FRA
Men,Gold,Table Tennis,2016,China,CHN
Men,Gold,Table Tennis,2016,China,CHN
Men,Gold,Table Tennis,2016,China,CHN
Men,Gold,Table Tennis,2016,Korea,KOR
Men,Gold,Table Tennis,2016,Korea,KOR
Men,Gold,Table Tennis,2016,Korea,KOR
Men,Gold,Table Tennis,2016,Ukraine,UKR
Men,Gold,Table Tennis,2016,Ukraine,UKR
Men,Gold,Table Tennis,2016,Ukraine,UKR
Men,Gold,Table Tennis,2016,China,CHN
Men,Gold,Table Tennis,2016,China,CHN
Men,Gold,Table Tennis,2016,China,CHN
Women,Gold,Table Tennis,2016,China,CHN
Women,Gold,Table Tennis,2016,China,CHN
Women,Gold,Table Tennis,2016,China,CHN
Women,Gold,Table Tennis,2016,China,CHN
Women,Gold,Table Tennis,2016,China,CHN
Women,Gold,Table Tennis,2016,China,CHN
Women,Gold,Table Tennis,2016,Poland,POL
Women,Gold,Table Tennis,2016,Poland,POL
Women,Gold,Table Tennis,2016,Poland,POL
Men,Gold,Wheelchair Tennis,1980,Austria,AUT
Men,Gold,Wheelchair Tennis,1980,Korea,KOR
Men,Gold,Wheelchair Tennis,1980,United States of America,USA
Men,Gold,Wheelchair Tennis,1980,Switzerland,SUI
Men,Gold,Wheelchair Tennis,1980,Great Britain,GBR
Men,Gold,Wheelchair Tennis,1980,FR Germany,FRG
Men,Gold,Wheelchair Tennis,1980,FR Germany,FRG
Men,Gold,Wheelchair Tennis,1980,United States of America,USA
Men,Gold,Wheelchair Tennis,1980,FR Germany,FRG
Men,Gold,Wheelchair Tennis,1980,Yugoslavia,YUG
Men,Gold,Wheelchair Tennis,1980,FR Germany,FRG
Men,Gold,Wheelchair Tennis,1980,FR Germany,FRG
Women,Gold,Wheelchair Tennis,1980,Switzerland,SUI
Women,Gold,Wheelchair Tennis,1980,Switzerland,SUI
Women,Gold,Wheelchair Tennis,1980,Netherlands,NED
Women,Gold,Wheelchair Tennis,1980,Ireland,IRL
Women,Gold,Wheelchair Tennis,1980,Great Britain,GBR
Women,Gold,Wheelchair Tennis,1980,Great Britain,GBR
Men,Gold,Wheelchair Tennis,1980,FR Germany,FRG
Men,Gold,Wheelchair Tennis,1980,FR Germany,FRG
Men,Gold,Wheelchair Tennis,1980,FR Germany,FRG
Men,Gold,Wheelchair Tennis,1980,Netherlands,NED
Men,Gold,Wheelchair Tennis,1980,Switzerland,SUI
Men,Gold,Wheelchair Tennis,1980,Switzerland,SUI
Men,Gold,Wheelchair Tennis,1980,Great Britain,GBR
Men,Gold,Wheelchair Tennis,1980,FR Germany,FRG
Men,Gold,Wheelchair Tennis,1980,Netherlands,NED
Men,Gold,Wheelchair Tennis,1980,France,FRA
Men,Gold,Wheelchair Tennis,1980,Yugoslavia,YUG
Men,Gold,Wheelchair Tennis,1980,Yugoslavia,YUG
Men,Gold,Wheelchair Tennis,1980,FR Germany,FRG
Women,Gold,Wheelchair Tennis,1980,Austria,AUT
Women,Gold,Wheelchair Tennis,1980,Austria,AUT
Women,Gold,Wheelchair Tennis,1980,Switzerland,SUI
Women,Gold,Wheelchair Tennis,1980,Switzerland,SUI
Women,Gold,Wheelchair Tennis,1980,Netherlands,NED
Women,Gold,Wheelchair Tennis,1980,Norway,NOR
Men,Gold,Wheelchair Tennis,1984,FR Germany,FRG
Men,Gold,Wheelchair Tennis,1984,FR Germany,FRG
Men,Gold,Wheelchair Tennis,1984,FR Germany,FRG
Men,Gold,Wheelchair Tennis,1984,FR Germany,FRG
Men,Gold,Wheelchair Tennis,1984,FR Germany,FRG
Men,Gold,Wheelchair Tennis,1984,FR Germany,FRG
Men,Gold,Wheelchair Tennis,1984,Australia,AUS
Men,Gold,Wheelchair Tennis,1984,Sweden,SWE
Men,Gold,Wheelchair Tennis,1984,Israel,ISR
Men,Gold,Wheelchair Tennis,1984,France,FRA
Men,Gold,Wheelchair Tennis,1984,Sweden,SWE
Men,Gold,Wheelchair Tennis,1984,Sweden,SWE
Men,Gold,Wheelchair Tennis,1984,FR Germany,FRG
Men,Gold,Wheelchair Tennis,1984,France,FRA
Men,Gold,Wheelchair Tennis,1984,Finland,FIN
Men,Gold,Wheelchair Tennis,1984,Yugoslavia,YUG
Men,Gold,Wheelchair Tennis,1984,Finland,FIN
Men,Gold,Wheelchair Tennis,1984,FR Germany,FRG
Women,Gold,Wheelchair Tennis,1984,Switzerland,SUI
Women,Gold,Wheelchair Tennis,1984,FR Germany,FRG
Women,Gold,Wheelchair Tennis,1984,Netherlands,NED
Women,Gold,Wheelchair Tennis,1984,Great Britain,GBR
Women,Gold,Wheelchair Tennis,1984,Great Britain,GBR
Women,Gold,Wheelchair Tennis,1984,France,FRA
Women,Gold,Wheelchair Tennis,1984,Sweden,SWE
Women,Gold,Wheelchair Tennis,1984,France,FRA
Women,Gold,Wheelchair Tennis,1984,Belgium,BEL
Women,Gold,Wheelchair Tennis,1984,Denmark,DEN
Women,Gold,Wheelchair Tennis,1984,Denmark,DEN
Women,Gold,Wheelchair Tennis,1984,FR Germany,FRG
Men,Gold,Wheelchair Tennis,1984,Austria,AUT
Men,Gold,Wheelchair Tennis,1984,Austria,AUT
Men,Gold,Wheelchair Tennis,1984,FR Germany,FRG
Men,Gold,Wheelchair Tennis,1984,Finland,FIN
Men,Gold,Wheelchair Tennis,1984,FR Germany,FRG
Men,Gold,Wheelchair Tennis,1984,FR Germany,FRG
Men,Gold,Wheelchair Tennis,1984,Sweden,SWE
Men,Gold,Wheelchair Tennis,1984,Sweden,SWE
Men,Gold,Wheelchair Tennis,1984,Sweden,SWE
Men,Gold,Wheelchair Tennis,1984,Sweden,SWE
Men,Gold,Wheelchair Tennis,1984,Sweden,SWE
Men,Gold,Wheelchair Tennis,1984,Sweden,SWE
Men,Gold,Wheelchair Tennis,1984,Sweden,SWE
Men,Gold,Wheelchair Tennis,1984,FR Germany,FRG
Men,Gold,Wheelchair Tennis,1984,FR Germany,FRG
Men,Gold,Wheelchair Tennis,1984,FR Germany,FRG
Men,Gold,Wheelchair Tennis,1984,FR Germany,FRG
Men,Gold,Wheelchair Tennis,1984,FR Germany,FRG
Men,Gold,Wheelchair Tennis,1984,FR Germany,FRG
Women,Gold,Wheelchair Tennis,1984,Austria,AUT
Women,Gold,Wheelchair Tennis,1984,Switzerland,SUI
Women,Gold,Wheelchair Tennis,1984,Switzerland,SUI
Women,Gold,Wheelchair Tennis,1984,Switzerland,SUI
Women,Gold,Wheelchair Tennis,1984,Great Britain,GBR
Men,Gold,Wheelchair Tennis,1988,France,FRA
Men,Gold,Wheelchair Tennis,1988,Austria,AUT
Men,Gold,Wheelchair Tennis,1988,FR Germany,FRG
Men,Gold,Wheelchair Tennis,1988,Korea,KOR
Men,Gold,Wheelchair Tennis,1988,Austria,AUT
Men,Gold,Wheelchair Tennis,1988,FR Germany,FRG
Men,Gold,Wheelchair Tennis,1988,Netherlands,NED
Men,Gold,Wheelchair Tennis,1988,Sweden,SWE
Men,Gold,Wheelchair Tennis,1988,United States of America,USA
Men,Gold,Wheelchair Tennis,1988,France,FRA
Men,Gold,Wheelchair Tennis,1988,FR Germany,FRG
Men,Gold,Wheelchair Tennis,1988,Great Britain,GBR
Men,Gold,Wheelchair Tennis,1988,Korea,KOR
Men,Gold,Wheelchair Tennis,1988,Finland,FIN
Men,Gold,Wheelchair Tennis,1988,FR Germany,FRG
Men,Gold,Wheelchair Tennis,1988,France,FRA
Women,Gold,Wheelchair Tennis,1988,Switzerland,SUI
Women,Gold,Wheelchair Tennis,1988,FR Germany,FRG
Women,Gold,Wheelchair Tennis,1988,United States of America,USA
Women,Gold,Wheelchair Tennis,1988,United States of America,USA
Women,Gold,Wheelchair Tennis,1988,France,FRA
Women,Gold,Wheelchair Tennis,1988,China,CHN
Women,Gold,Wheelchair Tennis,1988,China,CHN
Men,Gold,Wheelchair Tennis,1988,Austria,AUT
Men,Gold,Wheelchair Tennis,1988,Korea,KOR
Men,Gold,Wheelchair Tennis,1988,FR Germany,FRG
Men,Gold,Wheelchair Tennis,1988,Korea,KOR
Men,Gold,Wheelchair Tennis,1988,FR Germany,FRG
Men,Gold,Wheelchair Tennis,1988,FR Germany,FRG
Men,Gold,Wheelchair Tennis,1988,Sweden,SWE
Men,Gold,Wheelchair Tennis,1988,France,FRA
Men,Gold,Wheelchair Tennis,1988,France,FRA
Men,Gold,Wheelchair Tennis,1988,FR Germany,FRG
Men,Gold,Wheelchair Tennis,1988,FR Germany,FRG
Men,Gold,Wheelchair Tennis,1988,Netherlands,NED
Men,Gold,Wheelchair Tennis,1988,Netherlands,NED
Men,Gold,Wheelchair Tennis,1988,FR Germany,FRG
Men,Gold,Wheelchair Tennis,1988,FR Germany,FRG
Women,Gold,Wheelchair Tennis,1988,Switzerland,SUI
Women,Gold,Wheelchair Tennis,1988,Switzerland,SUI
Women,Gold,Wheelchair Tennis,1988,United States of America,USA
Women,Gold,Wheelchair Tennis,1988,China,CHN
Men,Gold,Wheelchair Tennis,1992,Finland,FIN
Men,Gold,Wheelchair Tennis,1992,Austria,AUT
Men,Gold,Wheelchair Tennis,1992,France,FRA
Men,Gold,Wheelchair Tennis,1992,Germany,GER
Men,Gold,Wheelchair Tennis,1992,Hong Kong,HKG
Men,Gold,Wheelchair Tennis,1992,Germany,GER
Men,Gold,Wheelchair Tennis,1992,Israel,ISR
Men,Gold,Wheelchair Tennis,1992,United States of America,USA
Men,Gold,Wheelchair Tennis,1992,Finland,FIN
Men,Gold,Wheelchair Tennis,1992,Germany,GER
Men,Gold,Wheelchair Tennis,1992,France,FRA
Men,Gold,Wheelchair Tennis,1992,Finland,FIN
Women,Gold,Wheelchair Tennis,1992,Netherlands,NED
Women,Gold,Wheelchair Tennis,1992,Germany,GER
Women,Gold,Wheelchair Tennis,1992,Germany,GER
Women,Gold,Wheelchair Tennis,1992,China,CHN
Women,Gold,Wheelchair Tennis,1992,Germany,GER
Women,Gold,Wheelchair Tennis,1992,Belgium,BEL
Men,Gold,Wheelchair Tennis,1992,Korea,KOR
Men,Gold,Wheelchair Tennis,1992,Korea,KOR
Men,Gold,Wheelchair Tennis,1992,Austria,AUT
Men,Gold,Wheelchair Tennis,1992,Austria,AUT
Men,Gold,Wheelchair Tennis,1992,Great Britain,GBR
Men,Gold,Wheelchair Tennis,1992,Great Britain,GBR
Men,Gold,Wheelchair Tennis,1992,Great Britain,GBR
Men,Gold,Wheelchair Tennis,1992,Hong Kong,HKG
Men,Gold,Wheelchair Tennis,1992,Hong Kong,HKG
Men,Gold,Wheelchair Tennis,1992,Germany,GER
Men,Gold,Wheelchair Tennis,1992,Germany,GER
Men,Gold,Wheelchair Tennis,1992,Denmark,DEN
Men,Gold,Wheelchair Tennis,1992,Denmark,DEN
Men,Gold,Wheelchair Tennis,1992,Japan,JPN
Men,Gold,Wheelchair Tennis,1992,Japan,JPN
Men,Gold,Wheelchair Tennis,1992,Japan,JPN
Men,Gold,Wheelchair Tennis,1992,Japan,JPN
Men,Gold,Wheelchair Tennis,1992,Germany,GER
Men,Gold,Wheelchair Tennis,1992,Germany,GER
Men,Gold,Wheelchair Tennis,1992,Germany,GER
Women,Gold,Wheelchair Tennis,1992,Germany,GER
Women,Gold,Wheelchair Tennis,1992,Germany,GER
Women,Gold,Wheelchair Tennis,1992,Hong Kong,HKG
Women,Gold,Wheelchair Tennis,1992,Hong Kong,HKG
Women,Gold,Wheelchair Tennis,1992,China,CHN
Women,Gold,Wheelchair Tennis,1992,China,CHN
Men,Gold,Wheelchair Tennis,1996,Korea,KOR
Men,Gold,Wheelchair Tennis,1996,Korea,KOR
Men,Gold,Wheelchair Tennis,1996,Yugoslavia,YUG
Men,Gold,Wheelchair Tennis,1996,France,FRA
Men,Gold,Wheelchair Tennis,1996,France,FRA
Men,Gold,Wheelchair Tennis,1996,Denmark,DEN
Men,Gold,Wheelchair Tennis,1996,United States of America,USA
Men,Gold,Wheelchair Tennis,1996,Sweden,SWE
Men,Gold,Wheelchair Tennis,1996,Austria,AUT
Men,Gold,Wheelchair Tennis,1996,France,FRA
Men,Gold,Wheelchair Tennis,1996,Germany,GER
Men,Gold,Wheelchair Tennis,1996,Austria,AUT
Women,Gold,Wheelchair Tennis,1996,France,FRA
Women,Gold,Wheelchair Tennis,1996,Hungary,HUN
Women,Gold,Wheelchair Tennis,1996,United States of America,USA
Women,Gold,Wheelchair Tennis,1996,Austria,AUT
Women,Gold,Wheelchair Tennis,1996,Belgium,BEL
Women,Gold,Wheelchair Tennis,1996,China,CHN
Women,Gold,Wheelchair Tennis,1996,France,FRA
Women,Gold,Wheelchair Tennis,1996,Germany,GER
Women,Gold,Wheelchair Tennis,1996,China,CHN
Men,Gold,Wheelchair Tennis,1996,Finland,FIN
Men,Gold,Wheelchair Tennis,1996,Finland,FIN
Men,Gold,Wheelchair Tennis,1996,Korea,KOR
Men,Gold,Wheelchair Tennis,1996,Korea,KOR
Men,Gold,Wheelchair Tennis,1996,Korea,KOR
Men,Gold,Wheelchair Tennis,1996,Sweden,SWE
Men,Gold,Wheelchair Tennis,1996,Sweden,SWE
Men,Gold,Wheelchair Tennis,1996,Sweden,SWE
Men,Gold,Wheelchair Tennis,1996,Sweden,SWE
Men,Gold,Wheelchair Tennis,1996,Germany,GER
Men,Gold,Wheelchair Tennis,1996,Germany,GER
Men,Gold,Wheelchair Tennis,1996,Germany,GER
Men,Gold,Wheelchair Tennis,1996,Germany,GER
Men,Gold,Wheelchair Tennis,1996,France,FRA
Men,Gold,Wheelchair Tennis,1996,France,FRA
Men,Gold,Wheelchair Tennis,1996,France,FRA
Women,Gold,Wheelchair Tennis,1996,Germany,GER
Women,Gold,Wheelchair Tennis,1996,Germany,GER
Women,Gold,Wheelchair Tennis,1996,Germany,GER
Women,Gold,Wheelchair Tennis,1996,Germany,GER
Women,Gold,Wheelchair Tennis,1996,China,CHN
Women,Gold,Wheelchair Tennis,1996,China,CHN
Men,Gold,Wheelchair Tennis,2000,Korea,KOR
Men,Gold,Wheelchair Tennis,2000,Korea,KOR
Men,Gold,Wheelchair Tennis,2000,France,FRA
Men,Gold,Wheelchair Tennis,2000,Czech Republic,CZE
Men,Gold,Wheelchair Tennis,2000,France,FRA
Men,Gold,Wheelchair Tennis,2000,Sweden,SWE
Men,Gold,Wheelchair Tennis,2000,Germany,GER
Men,Gold,Wheelchair Tennis,2000,Spain,ESP
Men,Gold,Wheelchair Tennis,2000,Nigeria,NGR
Men,Gold,Wheelchair Tennis,2000,Czech Republic,CZE
Men,Gold,Wheelchair Tennis,2000,Poland,POL
Women,Gold,Wheelchair Tennis,2000,Jordan,JOR
Women,Gold,Wheelchair Tennis,2000,Slovakia,SVK
Women,Gold,Wheelchair Tennis,2000,Germany,GER
Women,Gold,Wheelchair Tennis,2000,China,CHN
Women,Gold,Wheelchair Tennis,2000,China,CHN
Women,Gold,Wheelchair Tennis,2000,France,FRA
Women,Gold,Wheelchair Tennis,2000,Czech Republic,CZE
Women,Gold,Wheelchair Tennis,2000,Hong Kong,HKG
Men,Gold,Wheelchair Tennis,2000,Korea,KOR
Men,Gold,Wheelchair Tennis,2000,Korea,KOR
Men,Gold,Wheelchair Tennis,2000,Korea,KOR
Men,Gold,Wheelchair Tennis,2000,Korea,KOR
Men,Gold,Wheelchair Tennis,2000,France,FRA
Men,Gold,Wheelchair Tennis,2000,France,FRA
Men,Gold,Wheelchair Tennis,2000,France,FRA
Men,Gold,Wheelchair Tennis,2000,France,FRA
Men,Gold,Wheelchair Tennis,2000,France,FRA
Men,Gold,Wheelchair Tennis,2000,France,FRA
Men,Gold,Wheelchair Tennis,2000,Korea,KOR
Men,Gold,Wheelchair Tennis,2000,Korea,KOR
Men,Gold,Wheelchair Tennis,2000,Germany,GER
Men,Gold,Wheelchair Tennis,2000,Germany,GER
Men,Gold,Wheelchair Tennis,2000,Germany,GER
Men,Gold,Wheelchair Tennis,2000,Korea,KOR
Men,Gold,Wheelchair Tennis,2000,Korea,KOR
Men,Gold,Wheelchair Tennis,2000,Nigeria,NGR
Men,Gold,Wheelchair Tennis,2000,Nigeria,NGR
