gender,event,medal,type,year,country,abb,athlete
Men,50 m Freestyle S7,Gold,Swimming,2000,Great Britain,GBR,ROBERTS David
Men,50 m Freestyle S8,Gold,Swimming,2000,Greece,GRE,FYKAS Konstantinos
Men,50 m Freestyle S9,Gold,Swimming,2000,China,CHN,XIONG Xiaoming
Men,50 m Freestyle S10,Gold,Swimming,2000,Canada,CAN,HUOT Benoit
Men,50 m Freestyle S11,Gold,Swimming,2000,Japan,JPN,KAWAI Junichi
Men,50 m Freestyle S12,Gold,Swimming,2000,South Africa,RSA,KLEYNHANS Ebert
Men,50 m Freestyle S13,Gold,Swimming,2000,Russia,RUS,STROKIN Andrei
Men,50 m Freestyle S14,Gold,Swimming,2000,Netherlands,NED,HOUTSMA Alwin
Men,100 m Freestyle S2,Gold,Swimming,2000,United States of America,USA,LOVEJOY Curtis
Men,100 m Freestyle S3,Gold,Swimming,2000,Great Britain,GBR,CAIRNS Kenneth
Men,100 m Freestyle S4,Gold,Swimming,2000,Spain,ESP,ORIBE Richard
Men,100 m Freestyle S5,Gold,Swimming,2000,Spain,ESP,RODRIGUEZ Sebastian
Men,100 m Freestyle S6,Gold,Swimming,2000,China,CHN,YIN Jianhua
Men,100 m Freestyle S7,Gold,Swimming,2000,Great Britain,GBR,ROBERTS David
Men,100 m Freestyle S8,Gold,Swimming,2000,Greece,GRE,FYKAS Konstantinos
Men,100 m Freestyle S9,Gold,Swimming,2000,China,CHN,XIONG Xiaoming
Men,100 m Freestyle S10,Gold,Swimming,2000,Canada,CAN,GAGNON Philippe
Men,100 m Freestyle S11,Gold,Swimming,2000,United States of America,USA,KELLY Daniel
Men,100 m Freestyle S12,Gold,Swimming,2000,South Africa,RSA,KLEYNHANS Ebert
Men,100 m Freestyle S13,Gold,Swimming,2000,Russia,RUS,STROKIN Andrei
Men,100 m Freestyle S14,Gold,Swimming,2000,Netherlands,NED,HOUTSMA Alwin
Men,200 m Freestyle S3,Gold,Swimming,2000,France,FRA,DAUTRESIRE Gaetan
Men,200 m Freestyle S4,Gold,Swimming,2000,Spain,ESP,ORIBE Richard
Men,200 m Freestyle S5,Gold,Swimming,2000,Spain,ESP,RODRIGUEZ Sebastian
Men,200 m Freestyle S14,Gold,Swimming,2000,Slovakia,SVK,KOLACKOVSKY Pavol
Men,400 m Freestyle S6,Gold,Swimming,2000,Denmark,DEN,ANDERSEN Peter Lund
Men,400 m Freestyle S7,Gold,Swimming,2000,New Zealand,NZL,BOOTH Dean
Men,400 m Freestyle S8,Gold,Swimming,2000,United States of America,USA,WENING Jason
Men,400 m Freestyle S9,Gold,Swimming,2000,Spain,ESP,SERRANO Jaime
Men,400 m Freestyle S10,Gold,Swimming,2000,Canada,CAN,GAGNON Philippe
Men,400 m Freestyle S12,Gold,Swimming,2000,Australia,AUS,HARDY Jeffrey
Men,400 m Freestyle S13,Gold,Swimming,2000,Spain,ESP,FLORIANO Enrique
Men,50 m Backstroke S2,Gold,Swimming,2000,Spain,ESP,LOPEZ Hector
Men,50 m Backstroke S3,Gold,Swimming,2000,Czech Republic,CZE,KOVAR Martin
Men,50 m Backstroke S4,Gold,Swimming,2000,Mexico,MEX,REYES Juan Ignacio
Men,50 m Backstroke S5,Gold,Swimming,2000,Hungary,HUN,VERECZKEI Zsolt
Men,100 m Backstroke S6,Gold,Swimming,2000,Canada,CAN,PURDY Adam
Men,100 m Backstroke S7,Gold,Swimming,2000,Great Britain,GBR,LINDSAY Andrew
Men,100 m Backstroke S8,Gold,Swimming,2000,Ireland,IRL,MALONE David
Men,100 m Backstroke S8,Gold,Swimming,2000,Germany,GER,KIMMIG Holger
Men,100 m Backstroke S9,Gold,Swimming,2000,Great Britain,GBR,CRISP James
Men,100 m Backstroke S10,Gold,Swimming,2000,Poland,POL,MAIK Maciej
Men,100 m Backstroke S11,Gold,Swimming,2000,United States of America,USA,KELLY Daniel
Men,100 m Backstroke S12,Gold,Swimming,2000,Japan,JPN,SAKAI Yoshikazu
Men,100 m Backstroke S13,Gold,Swimming,2000,Canada,CAN,WU Walter
Men,100 m Backstroke S14,Gold,Swimming,2000,Hungary,HUN,SANTA Krisztian
Men,50 m Breaststroke SB2,Gold,Swimming,2000,Mexico,MEX,CASTORENA Jose Arnulfo
Men,50 m Breaststroke SB3,Gold,Swimming,2000,Spain,ESP,LUQUE Miguel
Men,100 m Breaststroke SB4,Gold,Swimming,2000,Spain,ESP,TEN Ricardo
Men,100 m Breaststroke SB5,Gold,Swimming,2000,Netherlands,NED,ENGEL Kasper
Men,100 m Breaststroke SB6,Gold,Swimming,2000,United States of America,USA,MOHR Travis
Men,100 m Breaststroke SB7,Gold,Swimming,2000,Great Britain,GBR,KINDRED Sascha
Men,100 m Breaststroke SB8,Gold,Swimming,2000,Norway,NOR,ULVANG Rune
Men,100 m Breaststroke SB9,Gold,Swimming,2000,Australia,AUS,BARNETT Paul
Men,100 m Breaststroke SB11,Gold,Swimming,2000,Ukraine,UKR,MASHCHENKO Oleksandr
Men,100 m Breaststroke SB12,Gold,Swimming,2000,Australia,AUS,BUGARIN Kingsley
Men,100 m Breaststroke SB13,Gold,Swimming,2000,Norway,NOR,PEDERSEN Noel
Men,100 m Breaststroke SB14,Gold,Swimming,2000,Netherlands,NED,HOUTSMA Alwin
Men,50 m Butterfly S4,Gold,Swimming,2000,Thailand,THA,DOUNGKAEW Somchai
Men,50 m Butterfly S5,Gold,Swimming,2000,China,CHN,HE Junquan
Men,50 m Butterfly S6,Gold,Swimming,2000,Spain,ESP,VIDAL Daniel
Men,50 m Butterfly S7,Gold,Swimming,2000,Ukraine,UKR,ANDRYUSHIN Yuriy
Men,50 m Butterfly S14,Gold,Swimming,2000,Netherlands,NED,HOUTSMA Alwin
Men,100 m Butterfly S8,Gold,Swimming,2000,Great Britain,GBR,LONG Giles
Men,100 m Butterfly S9,Gold,Swimming,2000,Spain,ESP,COLLADO Jesus
Men,100 m Butterfly S10,Gold,Swimming,2000,Great Britain,GBR,CUNDY Jody
Men,100 m Butterfly S12,Gold,Swimming,2000,Belarus,BLR,MAKARAU Raman
Men,100 m Butterfly S13,Gold,Swimming,2000,Canada,CAN,WU Walter
Men,150 m Medley SM3,Gold,Swimming,2000,Mexico,MEX,REYES Juan Ignacio
Men,150 m Medley SM4,Gold,Swimming,2000,Spain,ESP,TORRES Javier
Men,200 m Medley SM5,Gold,Swimming,2000,Spain,ESP,CIMADEVILLA Pablo
Men,200 m Medley SM6,Gold,Swimming,2000,Great Britain,GBR,KINDRED Sascha
Men,200 m Medley SM7,Gold,Swimming,2000,France,FRA,LINDMANN Eric
Men,200 m Medley SM8,Gold,Swimming,2000,China,CHN,TIAN Hengheng
Men,200 m Medley SM9,Gold,Swimming,2000,Great Britain,GBR,CRISP James
Men,200 m Medley SM10,Gold,Swimming,2000,Canada,CAN,HUOT Benoit
Men,200 m Medley SM11,Gold,Swimming,2000,United States of America,USA,KELLY Daniel
Men,200 m Medley SM12,Gold,Swimming,2000,Australia,AUS,BUGARIN Kingsley
Men,200 m Medley SM13,Gold,Swimming,2000,Spain,ESP,FLORIANO Enrique
Men,200 m Medley SM14,Gold,Swimming,2000,Netherlands,NED,HOUTSMA Alwin
Women,50 m Freestyle S2,Gold,Swimming,2000,Great Britain,GBR,BROADRIBB Victoria
Women,50 m Freestyle S3,Gold,Swimming,2000,Czech Republic,CZE,HOFFMANOVA Jana
Women,50 m Freestyle S4,Gold,Swimming,2000,Japan,JPN,NARITA Mayumi
Women,50 m Freestyle S5,Gold,Swimming,2000,France,FRA,HESS Beatrice
Women,50 m Freestyle S6,Gold,Swimming,2000,Mexico,MEX,GONZALEZ Doramitzi
Women,50 m Freestyle S7,Gold,Swimming,2000,Canada,CAN,CAMPO Danielle
Women,50 m Freestyle S8,Gold,Swimming,2000,Israel,ISR,LEYBOVITCH Keren Or
Women,50 m Freestyle S9,Gold,Swimming,2000,Denmark,DEN,STENGER Ricka
Women,50 m Freestyle S10,Gold,Swimming,2000,Canada,CAN,SLOAN Jessica
Women,50 m Freestyle S11,Gold,Swimming,2000,Brazil,BRA,SUGIMORI Fabiana
Women,50 m Freestyle S12,Gold,Swimming,2000,China,CHN,ZHU Hongyan
Women,50 m Freestyle S13,Gold,Swimming,2000,United States of America,USA,SCOTT Elizabeth
Women,50 m Freestyle S14,Gold,Swimming,2000,Australia,AUS,PATON Siobhan
Women,100 m Freestyle S2,Gold,Swimming,2000,Ireland,IRL,BERRY Mairead
Women,100 m Freestyle S3,Gold,Swimming,2000,Mexico,MEX,VALLE Patricia
Women,100 m Freestyle S4,Gold,Swimming,2000,Japan,JPN,NARITA Mayumi
Women,100 m Freestyle S5,Gold,Swimming,2000,France,FRA,HESS Beatrice
Women,100 m Freestyle S6,Gold,Swimming,2000,United States of America,USA,POPOVICH Erin
Women,100 m Freestyle S7,Gold,Swimming,2000,Canada,CAN,CAMPO Danielle
Women,100 m Freestyle S8,Gold,Swimming,2000,Israel,ISR,LEYBOVITCH Keren Or
Women,100 m Freestyle S9,Gold,Swimming,2000,Canada,CAN,DIXON Stephanie
Women,100 m Freestyle S10,Gold,Swimming,2000,Canada,CAN,SLOAN Jessica
Women,100 m Freestyle S11,Gold,Swimming,2000,Spain,ESP,GARCIA Anais
Women,100 m Freestyle S12,Gold,Swimming,2000,China,CHN,ZHU Hongyan
Women,100 m Freestyle S13,Gold,Swimming,2000,United States of America,USA,SCOTT Elizabeth
Women,100 m Freestyle S14,Gold,Swimming,2000,Australia,AUS,PATON Siobhan
Women,200 m Freestyle S4,Gold,Swimming,2000,Japan,JPN,NARITA Mayumi
Women,200 m Freestyle S5,Gold,Swimming,2000,France,FRA,HESS Beatrice
Women,200 m Freestyle S14,Gold,Swimming,2000,Australia,AUS,PATON Siobhan
Women,400 m Freestyle S6,Gold,Swimming,2000,United States of America,USA,BROOKS Stephanie
Women,400 m Freestyle S7,Gold,Swimming,2000,United States of America,USA,REYNOLDS Lauren
Women,400 m Freestyle S8,Gold,Swimming,2000,Australia,AUS,COOPER Priya
Women,400 m Freestyle S9,Gold,Swimming,2000,Canada,CAN,DIXON Stephanie
Women,400 m Freestyle S10,Gold,Swimming,2000,Australia,AUS,DASHWOOD Gemma
Women,400 m Freestyle S11,Gold,Swimming,2000,Spain,ESP,GARCIA Anais
Women,400 m Freestyle S12,Gold,Swimming,2000,Great Britain,GBR,EASTER Melanie
Women,50 m Backstroke S2,Gold,Swimming,2000,Spain,ESP,CARRACELAS Sara
Women,50 m Backstroke S3,Gold,Swimming,2000,Germany,GER,CONRADI Annke
Women,50 m Backstroke S4,Gold,Swimming,2000,Japan,JPN,NARITA Mayumi
Women,50 m Backstroke S5,Gold,Swimming,2000,France,FRA,HESS Beatrice
Women,50 m Backstroke S14,Gold,Swimming,2000,Australia,AUS,PATON Siobhan
Women,100 m Backstroke S6,Gold,Swimming,2000,Mexico,MEX,GONZALEZ Doramitzi
Women,100 m Backstroke S7,Gold,Swimming,2000,Iceland,ISL,HAKONARDOTTIR Kristin
Women,100 m Backstroke S8,Gold,Swimming,2000,Israel,ISR,LEYBOVITCH Keren Or
Women,100 m Backstroke S9,Gold,Swimming,2000,Canada,CAN,DIXON Stephanie
Women,100 m Backstroke S10,Gold,Swimming,2000,United States of America,USA,NORRIS Karen
Women,100 m Backstroke S11,Gold,Swimming,2000,China,CHN,DONG Qiming
Women,100 m Backstroke S12,Gold,Swimming,2000,China,CHN,ZHU Hongyan
Women,50 m Breaststroke SB3,Gold,Swimming,2000,Great Britain,GBR,MCELENY Margaret
Women,50 m Breaststroke SB14,Gold,Swimming,2000,Czech Republic,CZE,KUMPOSTOVA Ivana
Women,100 m Breaststroke SB5,Gold,Swimming,2000,United States of America,USA,POPOVICH Erin
Women,100 m Breaststroke SB6,Gold,Swimming,2000,Australia,AUS,GREEN Judith
Women,100 m Breaststroke SB7,Gold,Swimming,2000,Iceland,ISL,HAKONARDOTTIR Kristin
Women,100 m Breaststroke SB8,Gold,Swimming,2000,Denmark,DEN,EGEBORG Sisse Grynet
Women,100 m Breaststroke SB9,Gold,Swimming,2000,Canada,CAN,SLOAN Jessica
Women,100 m Breaststroke SB12,Gold,Swimming,2000,Spain,ESP,FONT Deborah
Women,100 m Breaststroke SB13,Gold,Swimming,2000,Canada,CAN,COTE Kirby
Women,50 m Butterfly S5,Gold,Swimming,2000,France,FRA,HESS Beatrice
Women,50 m Butterfly S6,Gold,Swimming,2000,United States of America,USA,POPOVICH Erin
Women,50 m Butterfly S7,Gold,Swimming,2000,Canada,CAN,WALKER Elisabeth
Women,50 m Butterfly S14,Gold,Swimming,2000,Australia,AUS,PATON Siobhan
Women,100 m Butterfly S8,Gold,Swimming,2000,Netherlands,NED,VAN AMELSVOORT Syreeta
Women,100 m Butterfly S9,Gold,Swimming,2000,Great Britain,GBR,JENNINGS Emily
Women,100 m Butterfly S12,Gold,Swimming,2000,China,CHN,ZHU Hongyan
Women,150 m Medley SM4,Gold,Swimming,2000,Japan,JPN,NARITA Mayumi
Women,200 m Medley SM6,Gold,Swimming,2000,France,FRA,HESS Beatrice
Women,200 m Medley SM7,Gold,Swimming,2000,Canada,CAN,WALKER Elisabeth
Women,200 m Medley SM8,Gold,Swimming,2000,Hungary,HUN,PASZTORY Dora
Women,200 m Medley SM9,Gold,Swimming,2000,Denmark,DEN,STENGER Ricka
Women,200 m Medley SM10,Gold,Swimming,2000,Canada,CAN,SLOAN Jessica
Women,200 m Medley SM11,Gold,Swimming,2000,China,CHN,DONG Qiming
Women,200 m Medley SM12,Gold,Swimming,2000,China,CHN,ZHU Hongyan
Women,200 m Medley SM13,Gold,Swimming,2000,Canada,CAN,COTE Kirby
Women,200 m Medley SM14,Gold,Swimming,2000,Australia,AUS,PATON Siobhan
Men,4x50 m Freestyle 20 pts,Gold,Swimming,2000,Spain,ESP,ORIBE Richard
Men,4x50 m Freestyle 20 pts,Gold,Swimming,2000,Spain,ESP,RODRIGUEZ Sebastian
Men,4x50 m Freestyle 20 pts,Gold,Swimming,2000,Spain,ESP,VIDAL Daniel
Men,4x50 m Freestyle 20 pts,Gold,Swimming,2000,Spain,ESP,TORRES Javier
Men,4x100 m Freestyle 34 pts,Gold,Swimming,2000,Great Britain,GBR,ROBERTS David
Men,4x100 m Freestyle 34 pts,Gold,Swimming,2000,Great Britain,GBR,WALKER Matthew
Men,4x100 m Freestyle 34 pts,Gold,Swimming,2000,Great Britain,GBR,LONG Giles
Men,4x100 m Freestyle 34 pts,Gold,Swimming,2000,Great Britain,GBR,CRISP James
Men,4x100 m Freestyle 34 pts,Gold,Swimming,2000,Great Britain,GBR,CUNDY Jody
Men,4x100 m Freestyle 34 pts,Gold,Swimming,2000,Great Britain,GBR,WOODS Marc
Men,4x100 m Freestyle S14,Gold,Swimming,2000,Australia,AUS,DONACHIE Patrick
Men,4x100 m Freestyle S14,Gold,Swimming,2000,Australia,AUS,CROSS Paul
Men,4x100 m Freestyle S14,Gold,Swimming,2000,Australia,AUS,PIKE Stewart
Men,4x100 m Freestyle S14,Gold,Swimming,2000,Australia,AUS,REID Brett
Men,4x50 m Medley 20 pts,Gold,Swimming,2000,Spain,ESP,GIL Vicente
Men,4x50 m Medley 20 pts,Gold,Swimming,2000,Spain,ESP,RODRIGUEZ Sebastian
Men,4x50 m Medley 20 pts,Gold,Swimming,2000,Spain,ESP,TEN Ricardo
Men,4x50 m Medley 20 pts,Gold,Swimming,2000,Spain,ESP,GORDILLO Jordi
Men,4x50 m Medley 20 pts,Gold,Swimming,2000,Spain,ESP,VIDAL Daniel
Men,4x50 m Medley 20 pts,Gold,Swimming,2000,Spain,ESP,CIMADEVILLA Pablo
Men,4x50 m Medley 20 pts,Gold,Swimming,2000,Spain,ESP,TORRES Javier
Men,4x50 m Medley S14,Gold,Swimming,2000,Hungary,HUN,MAJER Gabor
Men,4x50 m Medley S14,Gold,Swimming,2000,Hungary,HUN,RACZ Janos
Men,4x50 m Medley S14,Gold,Swimming,2000,Hungary,HUN,SANTA Krisztian
Men,4x50 m Medley S14,Gold,Swimming,2000,Hungary,HUN,SZEDOE Tibor
Men,4x100 m Medley 34 pts,Gold,Swimming,2000,Canada,CAN,PURDY Adam
Men,4x100 m Medley 34 pts,Gold,Swimming,2000,Canada,CAN,PENNER Robert
Men,4x100 m Medley 34 pts,Gold,Swimming,2000,Canada,CAN,HALEY Andrew
Men,4x100 m Medley 34 pts,Gold,Swimming,2000,Canada,CAN,SALES Brad
Men,4x100 m Medley 34 pts,Gold,Swimming,2000,Canada,CAN,GAGNON Philippe
Men,4x100 m Medley 34 pts,Gold,Swimming,2000,Canada,CAN,HUOT Benoit
Men,4x100 m Medley S11-13,Gold,Swimming,2000,Japan,JPN,KAWAI Junichi
Men,4x100 m Medley S11-13,Gold,Swimming,2000,Japan,JPN,CHUJO Yasuharu
Men,4x100 m Medley S11-13,Gold,Swimming,2000,Japan,JPN,SAKAI Yoshikazu
Men,4x100 m Medley S11-13,Gold,Swimming,2000,Japan,JPN,SUGITA Koshiro
Women,4x50 m Freestyle 20 pts,Gold,Swimming,2000,Japan,JPN,FUJITA Takako
Women,4x50 m Freestyle 20 pts,Gold,Swimming,2000,Japan,JPN,KATO Sakuko
Women,4x50 m Freestyle 20 pts,Gold,Swimming,2000,Japan,JPN,NARITA Mayumi
Women,4x50 m Freestyle 20 pts,Gold,Swimming,2000,Japan,JPN,NARA Erika
Women,4x100 m Freestyle 34 pts,Gold,Swimming,2000,Canada,CAN,CAMPO Danielle
Women,4x100 m Freestyle 34 pts,Gold,Swimming,2000,Canada,CAN,COLE Andrea
Women,4x100 m Freestyle 34 pts,Gold,Swimming,2000,Canada,CAN,DIXON Stephanie
Women,4x100 m Freestyle 34 pts,Gold,Swimming,2000,Canada,CAN,SLOAN Jessica
Women,4x50 m Medley 20 pts,Gold,Swimming,2000,France,FRA,HESS Beatrice
Women,4x50 m Medley 20 pts,Gold,Swimming,2000,France,FRA,LOISEAU Ludivine
Women,4x50 m Medley 20 pts,Gold,Swimming,2000,France,FRA,LEQUIEN Anne Cecile
Women,4x50 m Medley 20 pts,Gold,Swimming,2000,France,FRA,TRIPIER-MARTHEAU Virginie
Women,4x100 m Medley 34 pts,Gold,Swimming,2000,Canada,CAN,WALKER Elisabeth
Women,4x100 m Medley 34 pts,Gold,Swimming,2000,Canada,CAN,DIXON Stephanie
Women,4x100 m Medley 34 pts,Gold,Swimming,2000,Canada,CAN,SLOAN Jessica
Women,4x100 m Medley 34 pts,Gold,Swimming,2000,Canada,CAN,BEIGER Darda
Men,50 m Freestyle S1,Gold,Swimming,2004,Israel,ISR,MAMISTALOV Izhak
Men,50 m Freestyle S2,Gold,Swimming,2004,Great Britain,GBR,ANDERSON James
Men,50 m Freestyle S3,Gold,Swimming,2004,Czech Republic,CZE,KOVAR Martin
Men,50 m Freestyle S4,Gold,Swimming,2004,Brazil,BRA,SILVA Clodoaldo
Men,50 m Freestyle S5,Gold,Swimming,2004,Spain,ESP,RODRIGUEZ Sebastian
Men,50 m Freestyle S6,Gold,Swimming,2004,China,CHN,YIN Jianhua
Men,50 m Freestyle S7,Gold,Swimming,2004,Great Britain,GBR,ROBERTS David
Men,50 m Freestyle S8,Gold,Swimming,2004,China,CHN,WANG Xiaofu
Men,50 m Freestyle S9,Gold,Swimming,2004,China,CHN,XIONG Xiaoming
Men,50 m Freestyle S10,Gold,Swimming,2004,Canada,CAN,HUOT Benoit
Men,50 m Freestyle S11,Gold,Swimming,2004,Japan,JPN,KAWAI Junichi
Men,50 m Freestyle S12,Gold,Swimming,2004,Ukraine,UKR,ALEKSYEYEV Dmytro
Men,50 m Freestyle S13,Gold,Swimming,2004,Russia,RUS,STROKIN Andrei
Men,100 m Freestyle S1,Gold,Swimming,2004,Israel,ISR,MAMISTALOV Izhak
Men,100 m Freestyle S2,Gold,Swimming,2004,Great Britain,GBR,ANDERSON James
Men,100 m Freestyle S3,Gold,Swimming,2004,Czech Republic,CZE,KOVAR Martin
Men,100 m Freestyle S4,Gold,Swimming,2004,Brazil,BRA,SILVA Clodoaldo
Men,100 m Freestyle S5,Gold,Swimming,2004,Spain,ESP,RODRIGUEZ Sebastian
Men,100 m Freestyle S6,Gold,Swimming,2004,China,CHN,YIN Jianhua
Men,100 m Freestyle S7,Gold,Swimming,2004,Great Britain,GBR,ROBERTS David
Men,100 m Freestyle S8,Gold,Swimming,2004,Australia,AUS,AUSTIN Benoit
Men,100 m Freestyle S9,Gold,Swimming,2004,Australia,AUS,COWDREY Matthew
Men,100 m Freestyle S10,Gold,Swimming,2004,Canada,CAN,HUOT Benoit
Men,100 m Freestyle S11,Gold,Swimming,2004,Ukraine,UKR,SMYRNOV Viktor
Men,100 m Freestyle S12,Gold,Swimming,2004,Belarus,BLR,MAKARAU Raman
Men,100 m Freestyle S13,Gold,Swimming,2004,Russia,RUS,STROKIN Andrei
Men,200 m Freestyle S2,Gold,Swimming,2004,Great Britain,GBR,ANDERSON James
Men,200 m Freestyle S3,Gold,Swimming,2004,Czech Republic,CZE,KOVAR Martin
Men,200 m Freestyle S4,Gold,Swimming,2004,Brazil,BRA,SILVA Clodoaldo
Men,200 m Freestyle S5,Gold,Swimming,2004,Spain,ESP,RODRIGUEZ Sebastian
Men,400 m Freestyle S6,Gold,Swimming,2004,Sweden,SWE,OLSSON Anders
Men,400 m Freestyle S7,Gold,Swimming,2004,Great Britain,GBR,ROBERTS David
Men,400 m Freestyle S8,Gold,Swimming,2004,Germany,GER,BURKARD Christoph
Men,400 m Freestyle S9,Gold,Swimming,2004,United States of America,USA,PROUT Michael
Men,400 m Freestyle S10,Gold,Swimming,2004,Canada,CAN,HUOT Benoit
Men,400 m Freestyle S11,Gold,Swimming,2004,Ukraine,UKR,SMYRNOV Viktor
Men,400 m Freestyle S12,Gold,Swimming,2004,Belarus,BLR,PUNKO Sergey
Men,400 m Freestyle S13,Gold,Swimming,2004,Canada,CAN,WU Walter
Men,50 m Backstroke S1,Gold,Swimming,2004,Greece,GRE,TAMPAXIS Christos
Men,50 m Backstroke S2,Gold,Swimming,2004,Great Britain,GBR,ANDERSON James
Men,50 m Backstroke S3,Gold,Swimming,2004,China,CHN,DU Jianping
Men,50 m Backstroke S4,Gold,Swimming,2004,Mexico,MEX,REYES Juan Ignacio
Men,50 m Backstroke S5,Gold,Swimming,2004,China,CHN,HE Junquan
Men,100 m Backstroke S6,Gold,Swimming,2004,Russia,RUS,PLOTNIKOV Igor
Men,100 m Backstroke S7,Gold,Swimming,2004,Great Britain,GBR,LINDSAY Andrew
Men,100 m Backstroke S8,Gold,Swimming,2004,United States of America,USA,MOHR Travis
Men,100 m Backstroke S9,Gold,Swimming,2004,United States of America,USA,PERRY Jarrett
Men,100 m Backstroke S10,Gold,Swimming,2004,United States of America,USA,ZOOK Justin
Men,100 m Backstroke S11,Gold,Swimming,2004,Ukraine,UKR,SMYRNOV Viktor
Men,100 m Backstroke S12,Gold,Swimming,2004,Belarus,BLR,MAKARAU Raman
Men,100 m Backstroke S13,Gold,Swimming,2004,Greece,GRE,TAIGANIDIS Charalampos
Men,50 m Breaststroke SB2,Gold,Swimming,2004,Mexico,MEX,CASTORENA Jose Arnulfo
Men,50 m Breaststroke SB3,Gold,Swimming,2004,Spain,ESP,LUQUE Miguel
Men,100 m Breaststroke SB4,Gold,Swimming,2004,France,FRA,PINARD Pascal
Men,100 m Breaststroke SB5,Gold,Swimming,2004,South Africa,RSA,SLATTERY Tadhg
Men,100 m Breaststroke SB6,Gold,Swimming,2004,Great Britain,GBR,DUKE Gareth
Men,100 m Breaststroke SB7,Gold,Swimming,2004,Great Britain,GBR,KINDRED Sascha
Men,100 m Breaststroke SB8,Gold,Swimming,2004,Ukraine,UKR,KALYNA Andriy
Men,100 m Breaststroke SB9,Gold,Swimming,2004,Russia,RUS,POLINE Dmitri
Men,100 m Breaststroke SB11,Gold,Swimming,2004,Ukraine,UKR,MASHCHENKO Oleksandr
Men,100 m Breaststroke SB12,Gold,Swimming,2004,Ukraine,UKR,ALEKSYEYEV Dmytro
Men,100 m Breaststroke SB13,Gold,Swimming,2004,Russia,RUS,STROKIN Andrei
Men,100 m Breaststroke SB13,Gold,Swimming,2004,Germany,GER,CLAUSNER Daniel
Men,50 m Butterfly S4,Gold,Swimming,2004,Brazil,BRA,SILVA Clodoaldo
Men,50 m Butterfly S5,Gold,Swimming,2004,China,CHN,HE Junquan
Men,50 m Butterfly S6,Gold,Swimming,2004,China,CHN,LI Peng
Men,50 m Butterfly S7,Gold,Swimming,2004,China,CHN,TIAN Rong
Men,100 m Butterfly S8,Gold,Swimming,2004,China,CHN,WANG Xiaofu
Men,100 m Butterfly S9,Gold,Swimming,2004,Spain,ESP,COLLADO Jesus
Men,100 m Butterfly S10,Gold,Swimming,2004,Canada,CAN,HUOT Benoit
Men,100 m Butterfly S11,Gold,Swimming,2004,Ukraine,UKR,SMYRNOV Viktor
Men,100 m Butterfly S12,Gold,Swimming,2004,Belarus,BLR,MAKARAU Raman
Men,100 m Butterfly S13,Gold,Swimming,2004,Greece,GRE,TAIGANIDIS Charalampos
Men,150 m Individual Medley SM3,Gold,Swimming,2004,China,CHN,DU Jianping
Men,150 m Individual Medley SM4,Gold,Swimming,2004,Brazil,BRA,SILVA Clodoaldo
Men,200 m Individual Medley SM5,Gold,Swimming,2004,China,CHN,HE Junquan
Men,200 m Individual Medley SM6,Gold,Swimming,2004,Great Britain,GBR,KINDRED Sascha
Men,200 m Individual Medley SM7,Gold,Swimming,2004,United States of America,USA,GARCIA Rudy
Men,200 m Individual Medley SM8,Gold,Swimming,2004,China,CHN,WANG Xiaofu
Men,200 m Individual Medley SM9,Gold,Swimming,2004,Australia,AUS,COWDREY Matthew
Men,200 m Individual Medley SM10,Gold,Swimming,2004,Canada,CAN,HUOT Benoit
Men,200 m Individual Medley SM11,Gold,Swimming,2004,Ukraine,UKR,SMYRNOV Viktor
Men,200 m Individual Medley SM12,Gold,Swimming,2004,Belarus,BLR,PUNKO Sergey
Men,200 m Individual Medley SM13,Gold,Swimming,2004,Germany,GER,CLAUSNER Daniel
Women,50 m Freestyle S2,Gold,Swimming,2004,Spain,ESP,CARRACELAS Sara
Women,50 m Freestyle S3,Gold,Swimming,2004,Mexico,MEX,VALLE Patricia
Women,50 m Freestyle S4,Gold,Swimming,2004,Japan,JPN,NARITA Mayumi
Women,50 m Freestyle S5,Gold,Swimming,2004,Ukraine,UKR,AKOPYAN Olena
Women,50 m Freestyle S6,Gold,Swimming,2004,Mexico,MEX,GONZALEZ Doramitzi
Women,50 m Freestyle S7,Gold,Swimming,2004,United States of America,USA,POPOVICH Erin
Women,50 m Freestyle S8,Gold,Swimming,2004,Norway,NOR,DRABSCH Cecilie
Women,50 m Freestyle S9,Gold,Swimming,2004,South Africa,RSA,DU TOIT Natalie
Women,50 m Freestyle S10,Gold,Swimming,2004,Canada,CAN,POLINARIO Anne Cecile
Women,50 m Freestyle S11,Gold,Swimming,2004,Brazil,BRA,SUGIMORI Fabiana
Women,50 m Freestyle S12,Gold,Swimming,2004,China,CHN,ZHU Hongyan
Women,50 m Freestyle S13,Gold,Swimming,2004,Canada,CAN,COTE Kirby
Women,100 m Freestyle S2,Gold,Swimming,2004,Spain,ESP,CARRACELAS Sara
Women,100 m Freestyle S3,Gold,Swimming,2004,Mexico,MEX,VALLE Patricia
Women,100 m Freestyle S4,Gold,Swimming,2004,Japan,JPN,NARITA Mayumi
Women,100 m Freestyle S5,Gold,Swimming,2004,Spain,ESP,PERALES Teresa
Women,100 m Freestyle S6,Gold,Swimming,2004,Mexico,MEX,GONZALEZ Doramitzi
Women,100 m Freestyle S7,Gold,Swimming,2004,United States of America,USA,POPOVICH Erin
Women,100 m Freestyle S8,Gold,Swimming,2004,United States of America,USA,LONG Jessica
