gender,event,medal,type,year,country,abb,athlete
Women,Individual Standing,Gold,Archery,1996,Poland,POL,OLEJNIK Malgorzata
Men,Teams W1/W2,Gold,Archery,1996,Germany,GER,NORTMANN Hermann
Men,Teams W1/W2,Gold,Archery,1996,Germany,GER,OEHME Mario
Men,Teams W1/W2,Gold,Archery,1996,Germany,GER,WOLF Udo
Men,Teams Standing,Gold,Archery,1996,Korea,KOR,AN Tae Sung
Men,Teams Standing,Gold,Archery,1996,Korea,KOR,CHO Hyeon
Men,Teams Standing,Gold,Archery,1996,Korea,KOR,LEE Hak Young
Women,Teams Open,Gold,Archery,1996,Italy,ITA,FANTATO Paola
Women,Teams Open,Gold,Archery,1996,Italy,ITA,LAZZARONI Roberta
Women,Teams Open,Gold,Archery,1996,Italy,ITA,TRUCCOLO Sandra
Men,Individual W1,Gold,Archery,2000,Czech Republic,CZE,SEBEK Zdenek
Men,Individual W2,Gold,Archery,2000,Korea,KOR,LEE Hong Gu
Men,Individual Standing,Gold,Archery,2000,Korea,KOR,AN Tae Sung
Women,Individual W1/W2,Gold,Archery,2000,Italy,ITA,FANTATO Paola
Women,Individual Standing,Gold,Archery,2000,Great Britain,GBR,CHAPMAN Anita
Men,Teams Open,Gold,Archery,2000,Italy,ITA,DE PELLEGRIN Oscar
Men,Teams Open,Gold,Archery,2000,Italy,ITA,CARRUBBA Salvatore
Men,Teams Open,Gold,Archery,2000,Italy,ITA,GABELLI Giuseppe
Women,Teams Open,Gold,Archery,2000,Italy,ITA,FANTATO Paola
Women,Teams Open,Gold,Archery,2000,Italy,ITA,MENCONI Anna
Women,Teams Open,Gold,Archery,2000,Italy,ITA,TRUCCOLO Sandra
Men,Individual W1,Gold,Archery,2004,Great Britain,GBR,CAVANAGH John
Men,Individual W2,Gold,Archery,2004,Germany,GER,OEHME Mario
Men,Individual Standing,Gold,Archery,2004,Slovakia,SVK,LYOCSA Imrich
Women,Individual W1/W2,Gold,Archery,2004,Italy,ITA,FANTATO Paola
Women,Individual Standing,Gold,Archery,2004,China,CHN,WANG Yanhong
Men,Teams Open,Gold,Archery,2004,Korea,KOR,JUNG Young Joo
Men,Teams Open,Gold,Archery,2004,Korea,KOR,LEE Hak Young
Men,Teams Open,Gold,Archery,2004,Korea,KOR,LEE Hong Gu
Women,Teams Open,Gold,Archery,2004,Great Britain,GBR,CHAPMAN Anita
Women,Teams Open,Gold,Archery,2004,Great Britain,GBR,PARKER Margaret
Women,Teams Open,Gold,Archery,2004,Great Britain,GBR,SMITH Kathleen
Men,Individual Compound W1,Gold,Archery,2008,Czech Republic,CZE,DRAHONINSKY David
Men,Individual Compound Open,Gold,Archery,2008,Great Britain,GBR,STUBBS John
Men,Individual Recurve W1/W2,Gold,Archery,2008,China,CHN,CHENG Changjie
Men,Individual Recurve Standing,Gold,Archery,2008,Mongolia,MGL,DAMBADONDOG Baatarjav
Women,Individual Compound Open,Gold,Archery,2008,Great Britain,GBR,BROWN Danielle
Women,Individual Recurve W1/W2,Gold,Archery,2008,Turkey,TUR,GIRISMEN Gizem
Women,Individual Recurve Standing,Gold,Archery,2008,Korea,KOR,LEE Hwa Sook
Men,Team Recurve Open,Gold,Archery,2008,Korea,KOR,CHO Hyun Kwan
Men,Team Recurve Open,Gold,Archery,2008,Korea,KOR,KIM Hong Kyu
Men,Team Recurve Open,Gold,Archery,2008,Korea,KOR,LEE Hong Gu
Women,Team Recurve Open,Gold,Archery,2008,China,CHN,FU Hongzhi
Women,Team Recurve Open,Gold,Archery,2008,China,CHN,GAO Fangxia
Women,Team Recurve Open,Gold,Archery,2008,China,CHN,XIAO Yanhong
Men,Individual Compound W1,Gold,Archery,2012,United States of America,USA,FABRY Jeff
Men,Individual Compound Open,Gold,Archery,2012,Finland,FIN,FORSBERG Jere
Men,Individual Recurve W1/W2,Gold,Archery,2012,Italy,ITA,DE PELLEGRIN Oscar
Men,Individual Recurve Standing,Gold,Archery,2012,Russia,RUS,TUCHINOV Timur
Women,Individual Compound Open,Gold,Archery,2012,Great Britain,GBR,BROWN Danielle
Women,Individual Recurve W1/W2,Gold,Archery,2012,Iran,IRI,NEMATI Zahra
Women,Individual Recurve Standing,Gold,Archery,2012,China,CHN,YAN Huilian
Men,Team Recurve Open,Gold,Archery,2012,Russia,RUS,OYUN Mikhail
Men,Team Recurve Open,Gold,Archery,2012,Russia,RUS,SHESTAKOV Oleg
Men,Team Recurve Open,Gold,Archery,2012,Russia,RUS,TUCHINOV Timur
Women,Team Recurve Open,Gold,Archery,2012,Korea,KOR,KIM Ran Sook
Women,Team Recurve Open,Gold,Archery,2012,Korea,KOR,KO Hee Sook
Women,Team Recurve Open,Gold,Archery,2012,Korea,KOR,LEE Hwa Sook
Men,Individual W1,Gold,Archery,2016,Great Britain,GBR,WALKER John
Men,Individual Compound Open,Gold,Archery,2016,United States of America,USA,SHELBY Andre
Men,Individual Recurve Open,Gold,Archery,2016,Iran,IRI,RAHIMI Gholamreza
Women,Individual W1,Gold,Archery,2016,Great Britain,GBR,STRETTON Jessica
Women,Individual Compound Open,Gold,Archery,2016,China,CHN,ZHOU Jiamin
Women,Individual Recurve Open,Gold,Archery,2016,Iran,IRI,NEMATI Zahra
Mixed,Team W1,Gold,Archery,2016,Great Britain,GBR,WALKER John
Mixed,Team W1,Gold,Archery,2016,Great Britain,GBR,FRITH Jo
Mixed,Team Compound Open,Gold,Archery,2016,China,CHN,AI Xinliang
Mixed,Team Compound Open,Gold,Archery,2016,China,CHN,ZHOU Jiamin
Mixed,Team Recurve Open,Gold,Archery,2016,China,CHN,ZHAO Lixue
Mixed,Team Recurve Open,Gold,Archery,2016,China,CHN,WU Chunyan
Men,60 m 1A,Gold,Athletics,1980,Mexico,MEX,DE LAS FUENTES Francisco
Men,60 m 1B,Gold,Athletics,1980,Sweden,SWE,HEDMAN Leif
Men,60 m 1C,Gold,Athletics,1980,Mexico,MEX,MONSALVO Eduardo
Men,60 m A,Gold,Athletics,1980,Great Britain,GBR,MCLEOD William
Men,80 m CP C,Gold,Athletics,1980,France,FRA,HAVARD Andre
Men,80 m CP D,Gold,Athletics,1980,Denmark,DEN,THOMSEN Henrik
Men,100 m B,Gold,Athletics,1980,Poland,POL,LANDOS Jerzy
Men,100 m C,Gold,Athletics,1980,Canada,CAN,BELANGER Magella
Men,100 m C1,Gold,Athletics,1980,Canada,CAN,LAPALME Denis
Men,100 m D,Gold,Athletics,1980,FR Germany,FRG,WAGNER K.
Men,100 m E,Gold,Athletics,1980,Finland,FIN,JAUHIAINEN Harri
Men,100 m E1,Gold,Athletics,1980,Norway,NOR,PEDERSEN Cato Zahl
Men,100 m F,Gold,Athletics,1980,Australia,AUS,LANHAM
Men,100 m F1,Gold,Athletics,1980,FR Germany,FRG,BERG Matthias
Men,100 m 2,Gold,Athletics,1980,Mexico,MEX,VALDEZ Eusebio
Men,100 m 3,Gold,Athletics,1980,Sweden,SWE,LOFSTROM Lars
Men,100 m 4,Gold,Athletics,1980,United States of America,USA,PARKS B.
Men,100 m 5,Gold,Athletics,1980,Belgium,BEL,DE MEYER M.
Men,100 m D1 runners,Gold,Athletics,1980,Austria,AUT,FINK Walter
Men,100 m D1 wheelchairs,Gold,Athletics,1980,United States of America,USA,MARTINSON Jim
Men,200 m 2,Gold,Athletics,1980,Mexico,MEX,VALDEZ Eusebio
Men,200 m 3,Gold,Athletics,1980,Australia,AUS,NUGENT Michael
Men,400 m A,Gold,Athletics,1980,Canada,CAN,YORK Patrick
Men,400 m B,Gold,Athletics,1980,Poland,POL,LANDOS Jerzy
Men,400 m C,Gold,Athletics,1980,FR Germany,FRG,JOHANN Jurgen
Men,400 m C1,Gold,Athletics,1980,Austria,AUT,KARNER Alois
