year,country,longitude,latitude,value
1984,Brazil,-51.92528,-14.235004,S
1984,Spain,-3.74922,40.463667,G
1984,Hong Kong,114.109497,22.396428,B
1984,Trinidad and Tobago,-61.222503,10.691803,G
1984,USSR,105.318756,61.52401,O
1984,Iceland,-19.020835,64.963051,B
1984,Bahrain,50.637772,25.930414,B
1984,Bulgaria,25.48583,42.733883,O
1984,Puerto Rico,-66.590149,18.220833,O
1984,Nigeria,8.675277,9.081999,O
1984,South Africa,22.937506,-30.559482,O
1984,Cuba,-77.781167,21.521757,O
1984,Panama,-80.782127,8.537981,O
1984,Slovenia,14.995463,46.151241,O
1984,Argentina,-63.616672,-38.416097,O
1984,Serbia,21.005859,44.016521,O
1984,Algeria,1.659626,28.033886,O
1984,Dominican Republic,-70.162651,18.735693,O
1984,Côte Ivoire,-5.54708,7.539989,O
1984,Belarus,27.953389,53.709807,O
1984,Ukraine,31.16558,48.379433,O
1984,Greece,21.824312,39.074208,O
1984,Estonia,25.013607,58.595272,O
1984,Lithuania,23.881275,55.169438,O
1984,Zimbabwe,29.154857,-19.015438,B
1984,Thailand,100.992541,15.870032,O
1984,Tunisia,9.537499,33.886917,O
1984,Chinese Taipei,120.960515,23.69781,O
1984,Angola,17.873887,-11.202692,O
1984,Morocco,-7.09262,31.791702,O
1984,Azerbaijan,47.576927,40.143105,O
1984,Latvia,24.603189,56.879635,O
1984,India,78.96288,20.593684,S
1984,Botswana,24.684866,-22.328474,O
1984,Saudi Arabia,45.079162,23.885942,O
1984,Croatia,15.2,45.1,O
1984,Chile,-71.542969,-35.675147,O
1984,Fiji,179.414413,-16.578193,O
1984,Namibia,18.49041,-22.95764,O
1984,Malaysia,101.975766,4.210484,O
1984,United Arab Emirates,53.847818,23.424076,O
1984,Iraq,43.679291,33.223191,O
1984,Uzbekistan,64.585262,41.377491,O
1984,Colombia,-74.297333,4.570868,O
1984,Vietnam,108.277199,14.058324,O
1984,UNKNOWN,123.0,48.0,B
1984,Luxembourg,6.129583,49.815273,S
1984,Faroe Islands,-6.911806,61.892635,O
1984,Peru,-75.015152,-9.189967,O
1984,Cyprus,33.429859,35.126413,O
1984,Singapore,103.819836,1.352083,O
1984,Kazakhstan,66.923684,48.019573,O
1984,Jordan,36.238414,30.585164,B
1984,Bosnia and Herzegovina,17.679076,43.915886,O
1984,Bahamas,-77.39628,25.03428,S
1984,East Germany,10.451526,51.165691,S
1984,Indonesia,113.921327,-0.789275,O
1984,Venezuela,-66.58973,6.42375,O
1984,Palestine,35.233154,31.952162,O
1984,Papua New Guinea,143.95555,-6.314993,O
1984,Pakistan,69.345116,30.375321,O
1984,Ethiopia,40.489673,9.145,O
1984,Uganda,32.290275,1.373333,O
1984,Qatar,51.183884,25.354826,O
1984,Uruguay,-55.765835,-32.522779,O
1984,Moldova,28.369885,47.411631,O
1984,Rwanda,29.873888,-1.940278,O
1984,Sri Lanka,80.771797,7.873054,O
1984,Cabo Verde,-24.013197,16.002082,O
1984,Mozambique,35.529562,-18.665695,O
1984,Libya,17.228331,26.3351,O
1984,Philippines,121.774017,12.879721,O
1984,Laos,102.495496,19.85627,O
1984,Syria,38.996815,34.802075,O
1988,Denmark,9.501785,56.26392,B
1988,FR Germany,10.451526,51.165691,G
1988,Canada,-106.346771,56.130366,G
1988,Mexico,-102.552784,23.634501,S
1988,Finland,25.748151,61.92411,S
1988,France,2.213749,46.227638,G
1988,Korea,127.766922,35.907757,G
1988,Norway,8.468946,60.472024,B
1988,New Zealand,174.885971,-40.900557,B
1988,Japan,138.252924,36.204824,B
1988,Austria,14.550072,47.516231,B
1988,United States of America,-95.712891,37.09024,G
1988,Belgium,4.469936,50.503887,S
1988,Great Britain,-3.435973,55.378051,G
1988,Sweden,18.643501,60.128161,S
1988,Switzerland,8.227512,46.818188,S
1988,Italy,12.56738,41.87194,B
1988,-,123.0,48.0,O
1988,Germany,10.451526,51.165691,O
1988,Poland,19.145136,51.919438,B
1988,Czech Republic,15.472962,49.817492,O
1988,Slovakia,19.699024,48.669026,O
1988,China,104.195397,35.86166,S
1988,Mongolia,103.846656,46.862496,O
1988,Turkey,35.243322,38.963745,O
1988,Russia,105.318756,61.52401,O
1988,Iran,53.688046,32.427908,G
1988,Australia,133.775136,-25.274398,S
1988,Egypt,30.802498,26.820553,B
1988,Netherlands,5.291266,52.132633,S
1988,Sudan,30.217636,12.862807,O
1988,Jamaica,-77.297508,18.109581,S
1988,Kuwait,47.481766,29.31166,B
1988,Kenya,37.906193,-0.023559,S
1988,Israel,34.851612,31.046051,S
1988,Ireland,-8.24389,53.41291,B
1988,Portugal,-8.224454,39.399872,S
1988,Yugoslavia,21.005859,44.016521,B
1988,Burma,95.956223,21.913965,O
1988,Hungary,19.503304,47.162494,B
1988,Brazil,-51.92528,-14.235004,B
1988,Spain,-3.74922,40.463667,G
1988,Hong Kong,114.109497,22.396428,B
1988,Trinidad and Tobago,-61.222503,10.691803,O
1988,USSR,105.318756,61.52401,G
1988,Iceland,-19.020835,64.963051,B
1988,Bahrain,50.637772,25.930414,G
1988,Bulgaria,25.48583,42.733883,G
1988,Puerto Rico,-66.590149,18.220833,S
1988,Nigeria,8.675277,9.081999,O
1988,South Africa,22.937506,-30.559482,O
1988,Cuba,-77.781167,21.521757,O
1988,Panama,-80.782127,8.537981,O
1988,Slovenia,14.995463,46.151241,O
1988,Argentina,-63.616672,-38.416097,S
1988,Serbia,21.005859,44.016521,O
